Year,Month,Bakerloo,Central,Jubilee,Northern,Piccadilly,Victoria,Waterloo_and_City,Sub-surface_lines
2023,January,22.88,23.36,18.59,22.72,20.5,26,17.34,13.45
2023,February,22.98,23.39,19.05,22.71,20.59,25.92,17.68,14.74
2023,March,23.11,23.12,18.61,22.36,20.56,25.38,17.71,14.68
2023,April,24.09,24.46,20.35,23.71,21.91,26.48,18.69,16.84
2023,May,25.73,26.65,21.87,25.18,23.86,28.22,20.42,20.41
2023,June,28.03,29.67,24.73,27.46,26.38,30.33,22.94,25.23
2023,July,28.65,29.99,25.18,28,27,30.59,23.48,24.36
2023,August,28.85,30.18,25.42,28.39,27.09,30.61,23.74,24.75
2023,September,29.65,30.89,25.82,28.8,27.39,31.25,24.13,25.42
2023,October,28.07,29.06,23.81,27.16,25.74,30.28,22.25,21.01
2023,November,25.61,26.1,20.49,24.69,22.99,27.82,19.59,16.12
2023,December,24.06,24.5,18.52,23.37,21.61,26.35,18.26,14.78
